customer_id,product_id,action_date,type,age_range,gender,customer_register_date,customer_level,city_level,brand,shop_id,category,product_market_date,fans_number,vip_number,shop_register_date,shop_category,shop_score,action_day
25559,84152,2018/4/15 23:57,PageView,5,W,2015/10/5,1,2,Proya,5708,Foundation Make-up,2017/3/24,147229,787130,2013/11/22,Beauty Makeup,9.694876,2018/4/15
77328,104400,2018/4/15 22:20,PageView,5,M,2015/10/21,6,1,Lipton,8884,Tea,2017/9/27,4915,8689,2016/4/6,Food,9.804353,2018/4/15
531717,250399,2018/4/15 13:38,PageView,5,M,2012/12/25,5,4,Redmi,6367,Phone,2011/11/16,0,0,,Electronics,0,2018/4/15
1573433,70859,2018/4/13 16:25,PageView,5,M,2012/1/18,5,1,Apple,7794,Phone,2016/7/14,0,0,,Electronics,0,2018/4/13
1446386,157223,2018/4/14 9:11,PageView,5,W,2015/3/12,5,1,Other,802,Phone,2017/5/12,0,0,,Electronics,0,2018/4/14
518489,62538,2018/4/11 12:07,PageView,5,M,2014/6/17,1,3,Huawei,7434,Tablet,2015/12/4,0,0,,Electronics,0,2018/4/11
692570,254279,2018/4/10 0:17,PageView,4,W,2015/12/2,1,5,LukFook,6225,Bracelet,2016/12/20,25410,64827,2016/10/24,Jewellery Accessories,9.503759,2018/4/10
1329063,43235,2018/4/14 22:25,PageView,5,M,2015/11/15,6,4,illuma,1908,Milk Power,2013/8/25,222535,571788,2013/8/21,Mother and Infant,9.576538,2018/4/14
1175571,116794,2018/4/14 10:53,PageView,2,M,2011/2/28,7,4,ZARA,4929,Coat,2018/1/4,3609,4943,2017/10/13,Clothes,9.522635,2018/4/14
688840,165306,2018/4/12 5:07,PageView,5,W,2013/11/17,7,1,Lays,2253,Potatio Chips,2016/1/11,54480,40285,2016/1/5,Food,9.304747,2018/4/12
722580,173739,2018/4/11 12:25,PageView,5,W,2018/2/1,6,5,Other,3957,Facial Mask,2017/12/5,1275,3050,2017/12/4,Beauty Makeup,9.560742,2018/4/11
329742,80170,2018/4/14 8:21,PageView,5,W,2017/9/11,1,5,Other,2808,Makerup Water,2015/8/26,51866,218701,2015/7/27,Beauty Makeup,9.435773,2018/4/14
1526561,325371,2018/4/8 14:05,PageView,4,W,2016/6/16,1,5,Other,802,Phone,2017/7/20,0,0,,Electronics,0,2018/4/8
